datetime,analytics_clicks,analytics_impressions,sales_quantity,sales_total_price
2022-05-11T20:51:19.566415,10,10,6,2.7
2022-05-11T20:51:19.566532,3,3,1,5.6000000000000005
2022-05-11T20:51:19.566558,4,4,4,7.0
2022-05-11T20:51:19.566582,4,4,10,8.299999999999999
2022-05-11T20:51:19.566603,4,4,8,2.8000000000000003
2022-05-11T20:51:19.566625,5,5,9,0.8999999999999999
2022-05-11T20:51:19.566645,2,2,6,6.5
2022-05-11T20:51:19.566665,10,10,8,3.5
2022-05-11T20:51:19.566685,5,5,6,2.0
2022-05-11T20:51:19.566705,2,2,5,6.5
